#{"t_start": 1754825888.5967047, "env_id": "None"}
r,l,t
-10.0,1,5.723073
-10.0,1,5.730915
-10.0,1,5.739796
-10.0,1,5.746345
-10.0,1,5.754749
-10.0,1,5.762269
-10.0,1,5.769072
-10.0,1,5.77726
-10.0,1,5.787236
-10.0,1,5.794775
-10.0,1,5.802621
-10.0,1,5.81007
-10.0,1,5.82001
-10.0,1,5.82789
-10.0,1,5.835561
-10.0,1,5.844108
-10.0,1,5.854058
-10.0,1,5.861398
-10.0,1,5.869339
-10.0,1,5.876875
-10.0,1,5.886666
-10.0,1,5.894584
-10.0,1,5.902254
-10.0,1,5.909951
-10.0,1,5.920149
-10.0,1,5.928158
-10.0,1,5.935699
-10.0,1,5.943533
-10.0,1,5.954862
-10.0,1,5.962791
-10.0,1,5.970266
-10.0,1,5.977685
-10.0,1,5.987731
-10.0,1,5.995607
-10.0,1,6.003095
-10.0,1,6.010554
-10.0,1,6.020371
-10.0,1,6.02789
-10.0,1,6.035468
-10.0,1,6.043569
-10.0,1,6.055257
-10.0,1,6.063061
-10.0,1,6.07114
-10.0,1,6.07841
-10.0,1,6.088859
-10.0,1,6.097367
-10.0,1,6.105883
-10.0,1,6.113316
-10.0,1,6.123496
-10.0,1,6.131424
-10.0,1,6.138823
-10.0,1,6.14633
-10.0,1,6.159447
-10.0,1,6.166903
-10.0,1,6.173817
-10.0,1,6.181761
-10.0,1,6.192044
-10.0,1,6.199725
-10.0,1,6.207718
-10.0,1,6.215726
-10.0,1,6.226415
-10.0,1,6.233871
-10.0,1,6.241166
-10.0,1,6.249245
-10.0,1,6.261106
-10.0,1,6.268357
-10.0,1,6.275614
-10.0,1,6.283156
-10.0,1,6.293066
-10.0,1,6.300724
-10.0,1,6.308389
-10.0,1,6.315842
-10.0,1,6.326366
-10.0,1,6.333632
-10.0,1,6.341283
-10.0,1,6.349326
-10.0,1,6.360398
-10.0,1,6.369373
-10.0,1,6.376897
-10.0,1,6.384118
-10.0,1,6.393855
-10.0,1,6.401196
-10.0,1,6.408648
-10.0,1,6.416675
-10.0,1,6.42659
-10.0,1,6.434333
-10.0,1,6.4424
-10.0,1,6.450618
-10.0,1,6.460696
-10.0,1,6.46954
-10.0,1,6.476861
-10.0,1,6.484588
-10.0,1,6.494262
-10.0,1,6.501639
-10.0,1,6.508986
-10.0,1,6.51674
-10.0,1,6.526497
-10.0,1,6.534331
-10.0,1,6.541814
-10.0,1,6.549643
-10.0,1,6.560388
-10.0,1,6.570088
-10.0,1,6.577681
-10.0,1,6.584856
-10.0,1,6.594578
-10.0,1,6.602586
-10.0,1,6.61089
-10.0,1,6.618212
-10.0,1,6.628395
-10.0,1,6.635942
-10.0,1,6.643799
-10.0,1,6.651373
-10.0,1,6.661549
-10.0,1,6.66905
-10.0,1,6.677683
-10.0,1,6.685591
-10.0,1,6.696064
-10.0,1,6.703624
-10.0,1,6.711525
-10.0,1,6.719616
-10.0,1,6.729418
-10.0,1,6.736685
-10.0,1,6.74424
-10.0,1,6.751795
-10.0,1,6.762003
-10.0,1,6.769491
-10.0,1,6.778643
-10.0,1,6.786515
-10.0,1,6.796688
-10.0,1,6.804158
-10.0,1,6.81134
-10.0,1,6.819616
-10.0,1,6.829576
-10.0,1,6.83778
-10.0,1,6.845408
-10.0,1,6.852998
-10.0,1,6.864129
-10.0,1,6.871392
-10.0,1,6.880381
-10.0,1,6.888214
-10.0,1,6.898344
-10.0,1,6.90592
-10.0,1,6.913196
-10.0,1,6.920596
-10.0,1,6.931078
-10.0,1,6.938617
-10.0,1,6.946339
-10.0,1,6.953711
-10.0,1,6.964094
-10.0,1,6.971342
-10.0,1,6.984138
-10.0,1,6.99159
-10.0,1,7.00025
-10.0,1,7.006496
-10.0,1,7.012686
-10.0,1,7.019088
-10.0,1,7.028039
-10.0,1,7.034461
-10.0,1,7.040937
-10.0,1,7.047368
-10.0,1,7.058032
-10.0,1,7.065313
-10.0,1,7.072926
-10.0,1,7.080222
-10.0,1,7.091957
-10.0,1,7.099023
-10.0,1,7.106496
-10.0,1,7.114634
-10.0,1,7.125002
-10.0,1,7.132705
-10.0,1,7.140295
-10.0,1,7.147848
-10.0,1,7.158274
-10.0,1,7.165496
-10.0,1,7.173019
-10.0,1,7.180432
-10.0,1,7.194798
-10.0,1,7.202199
-10.0,1,7.20943
-10.0,1,7.2166
-10.0,1,7.226723
-10.0,1,7.234436
-10.0,1,7.241991
-10.0,1,7.249578
-10.0,1,7.260103
-10.0,1,7.267879
-10.0,1,7.27528
-10.0,1,7.283187
-10.0,1,7.295323
-10.0,1,7.302671
-10.0,1,7.310515
-10.0,1,7.317945
-10.0,1,7.328007
-10.0,1,7.335342
-10.0,1,7.343467
-10.0,1,7.351833
-10.0,1,7.362573
-10.0,1,7.370071
-10.0,1,7.377789
-10.0,1,7.3869
-10.0,1,7.398323
-10.0,1,7.405626
-10.0,1,7.413108
-10.0,1,7.420451
-10.0,1,7.430344
-10.0,1,7.4383
-10.0,1,7.445822
-10.0,1,7.453503
-10.0,1,7.464869
-10.0,1,7.472792
-10.0,1,7.47995
-10.0,1,7.486974
-10.0,1,7.4992
-10.0,1,7.506505
-10.0,1,7.513844
-10.0,1,7.520957
-10.0,1,7.530636
-10.0,1,7.538471
-10.0,1,7.545882
-10.0,1,7.553542
-10.0,1,7.563415
-10.0,1,7.571303
-10.0,1,7.578534
-10.0,1,7.587937
-10.0,1,7.605641
-10.0,1,7.612707
-10.0,1,7.619712
-10.0,1,7.626906
-10.0,1,7.638126
-10.0,1,7.64623
-10.0,1,7.655828
-10.0,1,7.663665
-10.0,1,7.673869
