Step,Reward,Phase,Contact,GraspForce,CubeHeight,StableSteps
232,13.900000,grasp,True,0.600,0.050,0
233,13.900000,grasp,True,0.600,0.050,0
234,13.900000,grasp,True,0.600,0.050,0
235,13.900000,grasp,True,0.600,0.050,0
236,13.900000,grasp,True,0.600,0.050,0
237,13.900000,grasp,True,0.600,0.050,0
238,13.900000,grasp,True,0.600,0.050,0
239,13.900000,grasp,True,0.600,0.050,0
240,13.900000,grasp,True,0.600,0.050,0
241,13.900000,grasp,True,0.600,0.050,0
242,13.900000,grasp,True,0.600,0.050,0
243,13.900000,grasp,True,0.600,0.050,0
244,13.900000,grasp,True,0.600,0.050,0
245,13.900000,grasp,True,0.600,0.050,0
246,13.900000,grasp,True,0.600,0.050,0
247,13.900000,grasp,True,0.600,0.050,0
248,13.900000,grasp,True,0.600,0.050,0
249,13.900000,grasp,True,0.600,0.050,0
250,13.900000,grasp,True,0.600,0.050,0
251,13.900000,grasp,True,0.600,0.050,0
252,13.900000,grasp,True,0.600,0.050,0
253,13.900000,grasp,True,0.600,0.050,0
254,13.900000,grasp,True,0.600,0.050,0
255,13.900000,grasp,True,0.600,0.050,0
256,13.900000,grasp,True,0.600,0.050,0
257,13.900000,grasp,True,0.600,0.050,0
258,13.900000,grasp,True,0.600,0.050,0
259,13.900000,grasp,True,0.600,0.050,0
260,13.900000,grasp,True,0.600,0.050,0
261,13.900000,grasp,True,0.600,0.050,0
262,13.900000,grasp,True,0.600,0.050,0
263,13.900000,grasp,True,0.600,0.050,0
264,13.900000,grasp,True,0.600,0.050,0
265,13.900000,grasp,True,0.600,0.050,0
266,13.900000,grasp,True,0.600,0.050,0
267,13.900000,grasp,True,0.600,0.050,0
268,13.900000,grasp,True,0.600,0.050,0
269,13.900000,grasp,True,0.600,0.050,0
270,13.900000,grasp,True,0.600,0.050,0
271,13.900000,grasp,True,0.600,0.050,0
272,13.900000,grasp,True,0.600,0.050,0
273,13.900000,grasp,True,0.600,0.050,0
274,13.900000,grasp,True,0.600,0.050,0
275,13.900000,grasp,True,0.600,0.050,0
276,13.900000,grasp,True,0.600,0.050,0
277,13.900000,grasp,True,0.600,0.050,0
278,13.900000,grasp,True,0.600,0.050,0
279,13.900000,grasp,True,0.600,0.050,0
280,13.900000,grasp,True,0.600,0.050,0
281,13.900000,grasp,True,0.600,0.050,0
282,13.900000,grasp,True,0.600,0.050,0
283,13.900000,grasp,True,0.600,0.050,0
284,13.900000,grasp,True,0.600,0.050,0
285,13.900000,grasp,True,0.600,0.050,0
286,13.900000,grasp,True,0.600,0.050,0
287,13.900000,grasp,True,0.600,0.050,0
288,13.900000,grasp,True,0.600,0.050,0
289,13.900000,grasp,True,0.600,0.050,0
290,13.900000,grasp,True,0.600,0.050,0
291,13.900000,grasp,True,0.600,0.050,0
292,13.900000,grasp,True,0.600,0.050,0
293,13.900000,grasp,True,0.600,0.050,0
294,13.900000,grasp,True,0.600,0.050,0
295,13.900000,grasp,True,0.600,0.050,0
296,13.900000,grasp,True,0.600,0.050,0
297,13.900000,grasp,True,0.600,0.050,0
298,13.900000,grasp,True,0.600,0.050,0
299,13.900000,grasp,True,0.600,0.050,0
300,13.900000,grasp,True,0.600,0.050,0
301,13.900000,grasp,True,0.600,0.050,0
302,13.900000,grasp,True,0.600,0.050,0
303,13.900000,grasp,True,0.600,0.050,0
304,13.900000,grasp,True,0.600,0.050,0
305,13.900000,grasp,True,0.600,0.050,0
306,13.900000,grasp,True,0.600,0.050,0
307,13.900000,grasp,True,0.600,0.050,0
308,13.900000,grasp,True,0.600,0.050,0
309,13.900000,grasp,True,0.600,0.050,0
310,13.900000,grasp,True,0.600,0.050,0
311,13.900000,grasp,True,0.600,0.050,0
312,13.900000,grasp,True,0.600,0.050,0
313,13.900000,grasp,True,0.600,0.050,0
314,13.900000,grasp,True,0.600,0.050,0
315,13.900000,grasp,True,0.600,0.050,0
316,13.900000,grasp,True,0.600,0.050,0
317,13.900000,grasp,True,0.600,0.050,0
318,13.900000,grasp,True,0.600,0.050,0
319,13.900000,grasp,True,0.600,0.050,0
320,13.900000,grasp,True,0.600,0.050,0
321,13.900000,grasp,True,0.600,0.050,0
322,13.900000,grasp,True,0.600,0.050,0
323,13.900000,grasp,True,0.600,0.050,0
324,13.900000,grasp,True,0.600,0.050,0
325,13.900000,grasp,True,0.600,0.050,0
326,13.900000,grasp,True,0.600,0.050,0
327,13.900000,grasp,True,0.600,0.050,0
328,13.900000,grasp,True,0.600,0.050,0
329,13.900000,grasp,True,0.600,0.050,0
330,13.900000,grasp,True,0.600,0.050,0
331,13.900000,grasp,True,0.600,0.050,0
332,13.900000,grasp,True,0.600,0.050,0
333,13.900000,grasp,True,0.600,0.050,0
334,13.900000,grasp,True,0.600,0.050,0
335,13.900000,grasp,True,0.600,0.050,0
336,13.900000,grasp,True,0.600,0.050,0
337,13.900000,grasp,True,0.600,0.050,0
338,13.900000,grasp,True,0.600,0.050,0
339,13.900000,grasp,True,0.600,0.050,0
340,13.900000,grasp,True,0.600,0.050,0
341,13.900000,grasp,True,0.600,0.050,0
342,13.900000,grasp,True,0.600,0.050,0
343,13.900000,grasp,True,0.600,0.050,0
344,13.900000,grasp,True,0.600,0.050,0
345,13.900000,grasp,True,0.600,0.050,0
346,13.900000,grasp,True,0.600,0.050,0
347,13.900000,grasp,True,0.600,0.050,0
348,13.900000,grasp,True,0.600,0.050,0
349,13.900000,grasp,True,0.600,0.050,0
350,13.900000,grasp,True,0.600,0.050,0
351,13.900000,grasp,True,0.600,0.050,0
352,13.900000,grasp,True,0.600,0.050,0
353,13.900000,grasp,True,0.600,0.050,0
354,13.900000,grasp,True,0.600,0.050,0
355,13.900000,grasp,True,0.600,0.050,0
356,13.900000,grasp,True,0.600,0.050,0
357,13.900000,grasp,True,0.600,0.050,0
358,13.900000,grasp,True,0.600,0.050,0
359,13.900000,grasp,True,0.600,0.050,0
360,13.900000,grasp,True,0.600,0.050,0
361,13.900000,grasp,True,0.600,0.050,0
362,13.900000,grasp,True,0.600,0.050,0
363,13.900000,grasp,True,0.600,0.050,0
364,13.900000,grasp,True,0.600,0.050,0
365,13.900000,grasp,True,0.600,0.050,0
366,13.900000,grasp,True,0.600,0.050,0
367,13.900000,grasp,True,0.600,0.050,0
368,13.900000,grasp,True,0.600,0.050,0
369,13.900000,grasp,True,0.600,0.050,0
370,13.900000,grasp,True,0.600,0.050,0
371,13.900000,grasp,True,0.600,0.050,0
372,13.900000,grasp,True,0.600,0.050,0
373,13.900000,grasp,True,0.600,0.050,0
374,13.900000,grasp,True,0.600,0.050,0
375,13.900000,grasp,True,0.600,0.050,0
376,13.900000,grasp,True,0.600,0.050,0
377,13.900000,grasp,True,0.600,0.050,0
378,13.900000,grasp,True,0.600,0.050,0
379,13.900000,grasp,True,0.600,0.050,0
380,13.900000,grasp,True,0.600,0.050,0
381,13.900000,grasp,True,0.600,0.050,0
382,13.900000,grasp,True,0.600,0.050,0
383,13.900000,grasp,True,0.600,0.050,0
384,13.900000,grasp,True,0.600,0.050,0
385,13.900000,grasp,True,0.600,0.050,0
386,13.900000,grasp,True,0.600,0.050,0
387,13.900000,grasp,True,0.600,0.050,0
388,13.900000,grasp,True,0.600,0.050,0
389,13.900000,grasp,True,0.600,0.050,0
390,13.900000,grasp,True,0.600,0.050,0
391,13.900000,grasp,True,0.600,0.050,0
392,13.900000,grasp,True,0.600,0.050,0
393,13.900000,grasp,True,0.600,0.050,0
394,13.900000,grasp,True,0.600,0.050,0
395,13.900000,grasp,True,0.600,0.050,0
396,13.900000,grasp,True,0.600,0.050,0
397,13.900000,grasp,True,0.600,0.050,0
398,13.900000,grasp,True,0.600,0.050,0
399,13.900000,grasp,True,0.600,0.050,0
400,13.900000,grasp,True,0.600,0.050,0
401,13.900000,grasp,True,0.600,0.050,0
402,13.900000,grasp,True,0.600,0.050,0
403,13.900000,grasp,True,0.600,0.050,0
404,13.900000,grasp,True,0.600,0.050,0
405,13.900000,grasp,True,0.600,0.050,0
406,13.900000,grasp,True,0.600,0.050,0
407,13.900000,grasp,True,0.600,0.050,0
408,13.900000,grasp,True,0.600,0.050,0
409,13.900000,grasp,True,0.600,0.050,0
410,13.900000,grasp,True,0.600,0.050,0
411,13.900000,grasp,True,0.600,0.050,0
412,13.900000,grasp,True,0.600,0.050,0
413,13.900000,grasp,True,0.600,0.050,0
414,13.900000,grasp,True,0.600,0.050,0
415,13.900000,grasp,True,0.600,0.050,0
416,13.900000,grasp,True,0.600,0.050,0
417,13.900000,grasp,True,0.600,0.050,0
418,13.900000,grasp,True,0.600,0.050,0
419,13.900000,grasp,True,0.600,0.050,0
420,13.900000,grasp,True,0.600,0.050,0
421,13.900000,grasp,True,0.600,0.050,0
422,13.900000,grasp,True,0.600,0.050,0
423,13.900000,grasp,True,0.600,0.050,0
424,13.900000,grasp,True,0.600,0.050,0
425,13.900000,grasp,True,0.600,0.050,0
426,13.900000,grasp,True,0.600,0.050,0
427,13.900000,grasp,True,0.600,0.050,0
428,13.900000,grasp,True,0.600,0.050,0
429,13.900000,grasp,True,0.600,0.050,0
430,13.900000,grasp,True,0.600,0.050,0
431,13.900000,grasp,True,0.600,0.050,0
432,13.900000,grasp,True,0.600,0.050,0
433,13.900000,grasp,True,0.600,0.050,0
434,13.900000,grasp,True,0.600,0.050,0
435,13.900000,grasp,True,0.600,0.050,0
436,13.900000,grasp,True,0.600,0.050,0
437,13.900000,grasp,True,0.600,0.050,0
438,13.900000,grasp,True,0.600,0.050,0
439,13.900000,grasp,True,0.600,0.050,0
440,13.900000,grasp,True,0.600,0.050,0
441,13.900000,grasp,True,0.600,0.050,0
442,13.900000,grasp,True,0.600,0.050,0
443,13.900000,grasp,True,0.600,0.050,0
444,13.900000,grasp,True,0.600,0.050,0
445,13.900000,grasp,True,0.600,0.050,0
446,13.900000,grasp,True,0.600,0.050,0
447,13.900000,grasp,True,0.600,0.050,0
448,13.900000,grasp,True,0.600,0.050,0
449,13.900000,grasp,True,0.600,0.050,0
450,13.900000,grasp,True,0.600,0.050,0
