Step,Reward,Phase,Contact,GraspForce,CubeHeight
430,13.900000,grasp,True,0.600,0.050
431,13.900000,grasp,True,0.600,0.050
432,13.900000,grasp,True,0.600,0.050
433,13.900000,grasp,True,0.600,0.050
434,13.900000,grasp,True,0.600,0.050
435,13.900000,grasp,True,0.600,0.050
436,13.900000,grasp,True,0.600,0.050
437,13.900000,grasp,True,0.600,0.050
438,13.900000,grasp,True,0.600,0.050
439,13.900000,grasp,True,0.600,0.050
440,13.900000,grasp,True,0.600,0.050
441,13.900000,grasp,True,0.600,0.050
442,13.900000,grasp,True,0.600,0.050
443,13.900000,grasp,True,0.600,0.050
444,13.900000,grasp,True,0.600,0.050
445,13.900000,grasp,True,0.600,0.050
446,13.900000,grasp,True,0.600,0.050
447,13.900000,grasp,True,0.600,0.050
448,13.900000,grasp,True,0.600,0.050
449,13.900000,grasp,True,0.600,0.050
450,13.900000,grasp,True,0.600,0.050
451,13.900000,grasp,True,0.600,0.050
452,13.900000,grasp,True,0.600,0.050
453,13.900000,grasp,True,0.600,0.050
454,13.900000,grasp,True,0.600,0.050
455,13.900000,grasp,True,0.600,0.050
456,13.900000,grasp,True,0.600,0.050
457,13.900000,grasp,True,0.600,0.050
458,13.900000,grasp,True,0.600,0.050
459,13.900000,grasp,True,0.600,0.050
460,13.900000,grasp,True,0.600,0.050
461,13.900000,grasp,True,0.600,0.050
462,13.900000,grasp,True,0.600,0.050
463,13.900000,grasp,True,0.600,0.050
464,13.900000,grasp,True,0.600,0.050
465,13.900000,grasp,True,0.600,0.050
466,13.900000,grasp,True,0.600,0.050
467,13.900000,grasp,True,0.600,0.050
468,13.900000,grasp,True,0.600,0.050
469,13.900000,grasp,True,0.600,0.050
470,13.900000,grasp,True,0.600,0.050
471,13.900000,grasp,True,0.600,0.050
472,13.900000,grasp,True,0.600,0.050
473,13.900000,grasp,True,0.600,0.050
474,13.900000,grasp,True,0.600,0.050
475,13.900000,grasp,True,0.600,0.050
476,13.900000,grasp,True,0.600,0.050
477,13.900000,grasp,True,0.600,0.050
478,13.900000,grasp,True,0.600,0.050
479,13.900000,grasp,True,0.600,0.050
480,13.900000,grasp,True,0.600,0.050
481,13.900000,grasp,True,0.600,0.050
482,13.900000,grasp,True,0.600,0.050
483,13.900000,grasp,True,0.600,0.050
484,13.900000,grasp,True,0.600,0.050
485,13.900000,grasp,True,0.600,0.050
486,13.900000,grasp,True,0.600,0.050
487,13.900000,grasp,True,0.600,0.050
488,13.900000,grasp,True,0.600,0.050
489,13.900000,grasp,True,0.600,0.050
490,13.900000,grasp,True,0.600,0.050
491,13.900000,grasp,True,0.600,0.050
492,13.900000,grasp,True,0.600,0.050
493,13.900000,grasp,True,0.600,0.050
494,13.900000,grasp,True,0.600,0.050
495,13.900000,grasp,True,0.600,0.050
496,13.900000,grasp,True,0.600,0.050
497,13.900000,grasp,True,0.600,0.050
498,13.900000,grasp,True,0.600,0.050
499,13.900000,grasp,True,0.600,0.050
500,13.900000,grasp,True,0.600,0.050
501,13.900000,grasp,True,0.600,0.050
502,13.900000,grasp,True,0.600,0.050
503,13.900000,grasp,True,0.600,0.050
504,13.900000,grasp,True,0.600,0.050
505,13.900000,grasp,True,0.600,0.050
506,13.900000,grasp,True,0.600,0.050
507,13.900000,grasp,True,0.600,0.050
508,13.900000,grasp,True,0.600,0.050
509,13.900000,grasp,True,0.600,0.050
510,13.900000,grasp,True,0.600,0.050
511,13.900000,grasp,True,0.600,0.050
512,13.900000,grasp,True,0.600,0.050
513,13.900000,grasp,True,0.600,0.050
514,13.900000,grasp,True,0.600,0.050
515,13.900000,grasp,True,0.600,0.050
516,13.900000,grasp,True,0.600,0.050
517,13.900000,grasp,True,0.600,0.050
518,13.900000,grasp,True,0.600,0.050
519,13.900000,grasp,True,0.600,0.050
520,13.900000,grasp,True,0.600,0.050
521,13.900000,grasp,True,0.600,0.050
522,13.900000,grasp,True,0.600,0.050
523,13.900000,grasp,True,0.600,0.050
524,13.900000,grasp,True,0.600,0.050
525,13.900000,grasp,True,0.600,0.050
526,13.900000,grasp,True,0.600,0.050
527,13.900000,grasp,True,0.600,0.050
528,13.900000,grasp,True,0.600,0.050
529,13.900000,grasp,True,0.600,0.050
530,13.900000,grasp,True,0.600,0.050
531,13.900000,grasp,True,0.600,0.050
532,13.900000,grasp,True,0.600,0.050
533,13.900000,grasp,True,0.600,0.050
534,13.900000,grasp,True,0.600,0.050
535,13.900000,grasp,True,0.600,0.050
536,13.900000,grasp,True,0.600,0.050
537,13.900000,grasp,True,0.600,0.050
538,13.900000,grasp,True,0.600,0.050
539,13.900000,grasp,True,0.600,0.050
540,13.900000,grasp,True,0.600,0.050
541,13.900000,grasp,True,0.600,0.050
542,13.900000,grasp,True,0.600,0.050
543,13.900000,grasp,True,0.600,0.050
544,13.900000,grasp,True,0.600,0.050
545,13.900000,grasp,True,0.600,0.050
546,13.900000,grasp,True,0.600,0.050
547,13.900000,grasp,True,0.600,0.050
548,13.900000,grasp,True,0.600,0.050
549,13.900000,grasp,True,0.600,0.050
550,13.900000,grasp,True,0.600,0.050
551,13.900000,grasp,True,0.600,0.050
552,13.900000,grasp,True,0.600,0.050
553,13.900000,grasp,True,0.600,0.050
554,13.900000,grasp,True,0.600,0.050
555,13.900000,grasp,True,0.600,0.050
556,13.900000,grasp,True,0.600,0.050
557,13.900000,grasp,True,0.600,0.050
558,13.900000,grasp,True,0.600,0.050
559,13.900000,grasp,True,0.600,0.050
560,13.900000,grasp,True,0.600,0.050
561,13.900000,grasp,True,0.600,0.050
562,13.900000,grasp,True,0.600,0.050
563,13.900000,grasp,True,0.600,0.050
564,13.900000,grasp,True,0.600,0.050
565,13.900000,grasp,True,0.600,0.050
566,13.900000,grasp,True,0.600,0.050
567,13.900000,grasp,True,0.600,0.050
568,13.900000,grasp,True,0.600,0.050
569,13.900000,grasp,True,0.600,0.050
570,13.900000,grasp,True,0.600,0.050
571,13.900000,grasp,True,0.600,0.050
572,13.900000,grasp,True,0.600,0.050
573,13.900000,grasp,True,0.600,0.050
574,13.900000,grasp,True,0.600,0.050
575,13.900000,grasp,True,0.600,0.050
576,13.900000,grasp,True,0.600,0.050
577,13.900000,grasp,True,0.600,0.050
578,13.900000,grasp,True,0.600,0.050
579,13.900000,grasp,True,0.600,0.050
580,13.900000,grasp,True,0.600,0.050
581,13.900000,grasp,True,0.600,0.050
582,13.900000,grasp,True,0.600,0.050
583,13.900000,grasp,True,0.600,0.050
584,13.900000,grasp,True,0.600,0.050
585,13.900000,grasp,True,0.600,0.050
586,13.900000,grasp,True,0.600,0.050
587,13.900000,grasp,True,0.600,0.050
588,13.900000,grasp,True,0.600,0.050
589,13.900000,grasp,True,0.600,0.050
590,13.900000,grasp,True,0.600,0.050
591,13.900000,grasp,True,0.600,0.050
592,13.900000,grasp,True,0.600,0.050
593,13.900000,grasp,True,0.600,0.050
594,13.900000,grasp,True,0.600,0.050
595,13.900000,grasp,True,0.600,0.050
596,13.900000,grasp,True,0.600,0.050
597,13.900000,grasp,True,0.600,0.050
598,13.900000,grasp,True,0.600,0.050
599,13.900000,grasp,True,0.600,0.050
600,13.900000,grasp,True,0.600,0.050
601,13.900000,grasp,True,0.600,0.050
602,13.900000,grasp,True,0.600,0.050
603,13.900000,grasp,True,0.600,0.050
604,13.900000,grasp,True,0.600,0.050
605,13.900000,grasp,True,0.600,0.050
606,13.900000,grasp,True,0.600,0.050
607,13.900000,grasp,True,0.600,0.050
608,13.900000,grasp,True,0.600,0.050
609,13.900000,grasp,True,0.600,0.050
610,13.900000,grasp,True,0.600,0.050
611,13.900000,grasp,True,0.600,0.050
612,13.900000,grasp,True,0.600,0.050
613,13.900000,grasp,True,0.600,0.050
614,13.900000,grasp,True,0.600,0.050
615,13.900000,grasp,True,0.600,0.050
616,13.900000,grasp,True,0.600,0.050
617,13.900000,grasp,True,0.600,0.050
618,13.900000,grasp,True,0.600,0.050
619,13.900000,grasp,True,0.600,0.050
620,13.900000,grasp,True,0.600,0.050
621,13.900000,grasp,True,0.600,0.050
622,13.900000,grasp,True,0.600,0.050
623,13.900000,grasp,True,0.600,0.050
624,13.900000,grasp,True,0.600,0.050
625,13.900000,grasp,True,0.600,0.050
626,13.900000,grasp,True,0.600,0.050
627,13.900000,grasp,True,0.600,0.050
628,13.900000,grasp,True,0.600,0.050
629,13.900000,grasp,True,0.600,0.050
630,13.900000,grasp,True,0.600,0.050
631,13.900000,grasp,True,0.600,0.050
632,13.900000,grasp,True,0.600,0.050
633,13.900000,grasp,True,0.600,0.050
634,13.900000,grasp,True,0.600,0.050
635,13.900000,grasp,True,0.600,0.050
636,13.900000,grasp,True,0.600,0.050
637,13.900000,grasp,True,0.600,0.050
638,13.900000,grasp,True,0.600,0.050
639,13.900000,grasp,True,0.600,0.050
640,13.900000,grasp,True,0.600,0.050
641,13.900000,grasp,True,0.600,0.050
642,13.900000,grasp,True,0.600,0.050
643,13.900000,grasp,True,0.600,0.050
644,13.900000,grasp,True,0.600,0.050
645,13.900000,grasp,True,0.600,0.050
646,13.900000,grasp,True,0.600,0.050
647,13.900000,grasp,True,0.600,0.050
648,13.900000,grasp,True,0.600,0.050
649,13.900000,grasp,True,0.600,0.050
650,13.900000,grasp,True,0.600,0.050
651,13.900000,grasp,True,0.600,0.050
652,13.900000,grasp,True,0.600,0.050
653,13.900000,grasp,True,0.600,0.050
654,13.900000,grasp,True,0.600,0.050
655,13.900000,grasp,True,0.600,0.050
656,13.900000,grasp,True,0.600,0.050
657,13.900000,grasp,True,0.600,0.050
658,13.900000,grasp,True,0.600,0.050
659,13.900000,grasp,True,0.600,0.050
660,13.900000,grasp,True,0.600,0.050
